name,lng,lat
麦麦司炸鸡汉堡奶茶, 118.1235, 24.518683
山或饮茶嘉禾店, 118.12746, 24.490066
满兮茶饮, 118.126046, 24.496599
几度(马垅店), 118.124167, 24.51948
每天咖啡(马垅店), 118.123978, 24.52061
每天咖啡(湖东路店), 118.11782, 24.481087
老塞行动咖啡(凤屿路店), 118.122124, 24.478496
芝根芝底(曾厝垵店), 118.124363, 24.440372
华莱士汉堡店(银河大厦店), 118.124215, 24.476633
肯特享汉堡饮品, 118.120513, 24.518638
莫名茶饮, 118.124138, 24.513412
每天咖啡(莲坂店), 118.126, 24.480811
台北式(厦大学生公寓店), 118.123257, 24.441684
无双茶饮小食, 118.124147, 24.476572
尊宝比萨(东浦店), 118.126813, 24.476311
厦门市思明区食色幸也饮品店, 118.124306, 24.482519
南点北味, 118.125269, 24.499871
宝贵(新景店), 118.126379, 24.484123
康师傅饮品, 118.12257, 24.481866
南点北味(文化宫店), 118.117582, 24.49895
小豆岛, 118.126775, 24.484904
百草园凉茶龟苓膏奶茶(厦大公寓店), 118.1229, 24.441418
百草园(假日店), 118.126309, 24.478512
台湾一品茶(新景店), 118.126159, 24.485923
咖啡公园(湖明店), 118.122917, 24.489154
好味亭奶茶炸鸡汉堡, 118.121005, 24.436799
一旋风奶茶, 118.126021, 24.438051
茶芋鲜(1店), 118.120663, 24.530521
海岛奶茶, 118.12365, 24.51871
雷仕咖啡奶茶批发中心, 118.125121, 24.534232
遇见奶茶店, 118.12244, 24.519519
七北疯烧仙草(厦大学生公寓店), 118.125288, 24.443355
盈宝贝饮品店, 118.12411, 24.435657
麦麦司炸鸡汉堡奶茶, 118.1235, 24.518683
山或饮茶嘉禾店, 118.12746, 24.490066
满兮茶饮, 118.126046, 24.496599
几度(马垅店), 118.124167, 24.51948
每天咖啡(马垅店), 118.123978, 24.52061
每天咖啡(湖东路店), 118.11782, 24.481087
老塞行动咖啡(凤屿路店), 118.122124, 24.478496
芝根芝底(曾厝垵店), 118.124363, 24.440372
华莱士汉堡店(银河大厦店), 118.124215, 24.476633
肯特享汉堡饮品, 118.120513, 24.518638
莫名茶饮, 118.124138, 24.513412
每天咖啡(莲坂店), 118.126, 24.480811
台北式(厦大学生公寓店), 118.123257, 24.441684
无双茶饮小食, 118.124147, 24.476572
尊宝比萨(东浦店), 118.126813, 24.476311
厦门市思明区食色幸也饮品店, 118.124306, 24.482519
南点北味, 118.125269, 24.499871
宝贵(新景店), 118.126379, 24.484123
康师傅饮品, 118.12257, 24.481866
南点北味(文化宫店), 118.117582, 24.49895
小豆岛, 118.126775, 24.484904
百草园(假日店), 118.126309, 24.478512
台湾一品茶(新景店), 118.126159, 24.485923
KOI The(罗宾森广场店), 118.120029, 24.475203
海岛奶茶, 118.12365, 24.51871
老塞行动咖啡(厦门芙蓉苑店), 118.118765, 24.523448
雷仕咖啡奶茶批发中心, 118.125121, 24.534232
遇见奶茶店, 118.12244, 24.519519
七北疯烧仙草(厦大学生公寓店), 118.125288, 24.443355
麦麦司炸鸡汉堡奶茶, 118.1235, 24.518683
山或饮茶嘉禾店, 118.12746, 24.490066
满兮茶饮, 118.126046, 24.496599
几度(马垅店), 118.124167, 24.51948
每天咖啡(马垅店), 118.123978, 24.52061
华莱士汉堡店(中埔店), 118.124973, 24.54326
华莱士汉堡店(银河大厦店), 118.124215, 24.476633
肯特享汉堡饮品, 118.120513, 24.518638
莫名茶饮, 118.124138, 24.513412
COFFEE PARK, 118.122845, 24.489146
每天咖啡(莲坂店), 118.126, 24.480811
无双茶饮小食, 118.124147, 24.476572
尊宝比萨(东浦店), 118.126813, 24.476311
厦门市思明区食色幸也饮品店, 118.124306, 24.482519
南点北味, 118.125269, 24.499871
宝贵(新景店), 118.126379, 24.484123
千尊比萨(槟榔店), 118.118455, 24.487836
康师傅饮品, 118.12257, 24.481866
南点北味(文化宫店), 118.117582, 24.49895
小豆岛, 118.126775, 24.484904
百草园(假日店), 118.126309, 24.478512
台湾一品茶(新景店), 118.126159, 24.485923
KOI The(罗宾森广场店), 118.120029, 24.475203
海岛奶茶, 118.12365, 24.51871
老塞行动咖啡(厦门芙蓉苑店), 118.118765, 24.523448
雷仕咖啡奶茶批发中心, 118.125121, 24.534232
遇见奶茶店, 118.12244, 24.519519
麦麦司炸鸡汉堡奶茶, 118.1235, 24.518683
山或饮茶嘉禾店, 118.12746, 24.490066
满兮茶饮, 118.126046, 24.496599
几度(马垅店), 118.124167, 24.51948
每天咖啡(马垅店), 118.123978, 24.52061
华莱士汉堡店(中埔店), 118.124973, 24.54326
华莱士汉堡店(银河大厦店), 118.124215, 24.476633
肯特享汉堡饮品, 118.120513, 24.518638
莫名茶饮, 118.124138, 24.513412
COFFEE PARK, 118.122845, 24.489146
每天咖啡(莲坂店), 118.126, 24.480811
无双茶饮小食, 118.124147, 24.476572
尊宝比萨(东浦店), 118.126813, 24.476311
厦门市思明区食色幸也饮品店, 118.124306, 24.482519
南点北味, 118.125269, 24.499871
宝贵(新景店), 118.126379, 24.484123
千尊比萨(槟榔店), 118.118455, 24.487836
康师傅饮品, 118.12257, 24.481866
南点北味(文化宫店), 118.117582, 24.49895
小豆岛, 118.126775, 24.484904
百草园(假日店), 118.126309, 24.478512
台湾一品茶(新景店), 118.126159, 24.485923
KOI The(罗宾森广场店), 118.120029, 24.475203
海岛奶茶, 118.12365, 24.51871
老塞行动咖啡(厦门芙蓉苑店), 118.118765, 24.523448
雷仕咖啡奶茶批发中心, 118.125121, 24.534232
遇见奶茶店, 118.12244, 24.519519
麦麦司炸鸡汉堡奶茶, 118.1235, 24.518683
山或饮茶嘉禾店, 118.12746, 24.490066
满兮茶饮, 118.126046, 24.496599
几度(马垅店), 118.124167, 24.51948
每天咖啡(马垅店), 118.123978, 24.52061
华莱士汉堡店(中埔店), 118.124973, 24.54326
华莱士汉堡店(银河大厦店), 118.124215, 24.476633
肯特享汉堡饮品, 118.120513, 24.518638
莫名茶饮, 118.124138, 24.513412
COFFEE PARK, 118.122845, 24.489146
每天咖啡(莲坂店), 118.126, 24.480811
无双茶饮小食, 118.124147, 24.476572
尊宝比萨(东浦店), 118.126813, 24.476311
厦门市思明区食色幸也饮品店, 118.124306, 24.482519
南点北味, 118.125269, 24.499871
宝贵(新景店), 118.126379, 24.484123
千尊比萨(槟榔店), 118.118455, 24.487836
康师傅饮品, 118.12257, 24.481866
南点北味(文化宫店), 118.117582, 24.49895
小豆岛, 118.126775, 24.484904
百草园(假日店), 118.126309, 24.478512
台湾一品茶(新景店), 118.126159, 24.485923
KOI The(罗宾森广场店), 118.120029, 24.475203
海岛奶茶, 118.12365, 24.51871
老塞行动咖啡(厦门芙蓉苑店), 118.118765, 24.523448
雷仕咖啡奶茶批发中心, 118.125121, 24.534232
遇见奶茶店, 118.12244, 24.519519
麦麦司炸鸡汉堡奶茶, 118.1235, 24.518683
山或饮茶嘉禾店, 118.12746, 24.490066
满兮茶饮, 118.126046, 24.496599
几度(马垅店), 118.124167, 24.51948
每天咖啡(马垅店), 118.123978, 24.52061
华莱士汉堡店(中埔店), 118.124973, 24.54326
华莱士汉堡店(银河大厦店), 118.124215, 24.476633
肯特享汉堡饮品, 118.120513, 24.518638
莫名茶饮, 118.124138, 24.513412
COFFEE PARK, 118.122845, 24.489146
每天咖啡(莲坂店), 118.126, 24.480811
无双茶饮小食, 118.124147, 24.476572
尊宝比萨(东浦店), 118.126813, 24.476311
厦门市思明区食色幸也饮品店, 118.124306, 24.482519
南点北味, 118.125269, 24.499871
宝贵(新景店), 118.126379, 24.484123
千尊比萨(槟榔店), 118.118455, 24.487836
康师傅饮品, 118.12257, 24.481866
南点北味(文化宫店), 118.117582, 24.49895
小豆岛, 118.126775, 24.484904
遇见奶茶店, 118.12244, 24.519519
麦麦司炸鸡汉堡奶茶, 118.1235, 24.518683
贡茶(松柏店), 118.126904, 24.49845
山或饮茶嘉禾店, 118.12746, 24.490066
满兮茶饮, 118.126046, 24.496599
几度(马垅店), 118.124167, 24.51948
每天咖啡(马垅店), 118.123978, 24.52061
老塞咖啡(松柏店), 118.127157, 24.49717
肯特享汉堡饮品, 118.120513, 24.518638
莫名茶饮, 118.124138, 24.513412
COFFEE PARK, 118.122845, 24.489146
南点北味, 118.125269, 24.499871
宝贵(新景店), 118.126379, 24.484123
千尊比萨(槟榔店), 118.118455, 24.487836
南点北味(文化宫店), 118.117582, 24.49895
小豆岛, 118.126775, 24.484904
华莱士汉堡店(塘边店), 118.123154, 24.513315
满兮茶饮, 118.126046, 24.496599
几度(马垅店), 118.124167, 24.51948
每天咖啡(马垅店), 118.123978, 24.52061
老塞咖啡(松柏店), 118.127157, 24.49717
肯特享汉堡饮品, 118.120513, 24.518638
莫名茶饮, 118.124138, 24.513412
南点北味, 118.125269, 24.499871
南点北味(文化宫店), 118.117582, 24.49895
快乐番薯(大唐世家店), 118.128362, 24.514859
八婆婆烧仙草(吕厝店), 118.136228, 24.496761
KOI Thé奶茶(SM城市广场店), 118.131554, 24.505644
台湾善若饮品, 118.12974, 24.444948
