name,lng,lat
福建省厦门第六中学校史馆, 118.095301, 24.501036
厦门六中学生宿舍, 118.096844, 24.50091
厦门市思明小学-南门, 118.096003, 24.449714
厦门市中华会计函授学校-南门, 118.090375, 24.468439
思明区教师进修学校-西北门, 118.097031, 24.444747
高兴的小鸟(实小校区), 118.095307, 24.462388
厦门市演武小学西区-东南门, 118.097373, 24.444188
公园小学游泳馆, 118.096279, 24.468388
厦门理工学院学生宿舍-西门, 118.094044, 24.450633
厦门医学院-东南门, 118.095248, 24.455629
厦门双十中学校友总会(校外秘书处), 118.088905, 24.471369
福建省厦门双十中学-卢祖荫科艺馆, 118.092447, 24.457165
厦门城市职业学院老年人体育协会, 118.092271, 24.471334
重庆大学校友总会厦门分会, 118.095635, 24.47364
顶顶学堂(故宫小学校区), 118.089085, 24.47068
福建省厦门双十中学-北门, 118.091866, 24.457525
厦门城市职业学院斗西校区-西门, 118.092307, 24.471297
巴西柔术格斗学院, 118.090533, 24.485492
福建省厦门实验小学-东门, 118.095747, 24.461529
厦门市群惠小学-东门, 118.091334, 24.458673
厦门城市职业学院继续教育中心(斗西校区), 118.092392, 24.471199
厦门市思北小学(北校区)-北门, 118.088717, 24.464191
小主美妆商学院, 118.091023, 24.468342
厦门市大同中学-同靖楼, 118.096883, 24.459834
福建省厦门实验小学-北门, 118.095061, 24.462021
福建省厦门实验小学-西南门, 118.093032, 24.461628
厦门市东渡小学-正门, 118.091243, 24.495005
厦门市城市建设中等职业学校-西北门, 118.096041, 24.471867
未名教育一对一个性化辅导冲刺中高考家教培训学校(公园校区), 118.095796, 24.460688
思北小学-南门, 118.089383, 24.463629
昂乐教育(思明群惠小学分校), 118.091899, 24.45894
学霸君中小学在线1对1辅导, 118.094421, 24.459463
福建省厦门双十中学-南门, 118.092951, 24.45604
故宫小学-南门, 118.088475, 24.47072
月牙棋苑(实验小学店), 118.095824, 24.460764
厦门市大同中学-西南门, 118.096041, 24.460515
厦门市第十一中学(湖滨南路)-南门, 118.090514, 24.471739
新南强法律教育培训学校, 118.090557, 24.485515
厦门城市职业学院终身教育服务中心, 118.092624, 24.471097
厦门市园南小学-正门, 118.093828, 24.464157
福建省厦门第六中学校史馆, 118.095301, 24.501036
厦门六中学生宿舍, 118.096844, 24.50091
厦门市中华会计函授学校-南门, 118.090375, 24.468439
高兴的小鸟(实小校区), 118.095307, 24.462388
公园小学游泳馆, 118.096279, 24.468388
厦门医学院-东南门, 118.095248, 24.455629
厦门双十中学校友总会(校外秘书处), 118.088905, 24.471369
福建省厦门双十中学-卢祖荫科艺馆, 118.092447, 24.457165
厦门城市职业学院老年人体育协会, 118.092271, 24.471334
重庆大学校友总会厦门分会, 118.095635, 24.47364
顶顶学堂(故宫小学校区), 118.089085, 24.47068
厦门市东渡小学-正门, 118.091243, 24.495005
厦门市城市建设中等职业学校-西北门, 118.096041, 24.471867
故宫小学-南门, 118.088475, 24.47072
厦门市第十一中学(湖滨南路)-南门, 118.090514, 24.471739
新南强法律教育培训学校, 118.090557, 24.485515
厦门城市职业学院终身教育服务中心, 118.092624, 24.471097
厦门市园南小学-正门, 118.093828, 24.464157
福建省厦门第六中学校史馆, 118.095301, 24.501036
厦门六中学生宿舍, 118.096844, 24.50091
厦门市中华会计函授学校-南门, 118.090375, 24.468439
公园小学游泳馆, 118.096279, 24.468388
厦门双十中学校友总会(校外秘书处), 118.088905, 24.471369
厦门城市职业学院老年人体育协会, 118.092271, 24.471334
重庆大学校友总会厦门分会, 118.095635, 24.47364
顶顶学堂(故宫小学校区), 118.089085, 24.47068
厦门大学(思明校区)-颂恩楼, 118.103709, 24.443425
福建省厦门第一中学-西北门, 118.10495, 24.465805
厦门大学材料学院材料科学与工程系, 118.104698, 24.447185
厦门大学(思明校区)-庄汉水楼, 118.103023, 24.44395
新东方(厦门学校源昌校区), 118.107394, 24.478356
昱星学校, 118.101362, 24.476463
厦门大学(思明校区)-新闻传播学院, 118.107094, 24.439953
厦门大学(思明校区)-群贤楼, 118.101813, 24.442947
厦门外国语学校-东门, 118.098975, 24.484465
新东方学校(溪岸路), 118.099383, 24.46907
厦门大学(思明校区)-克立楼, 118.10524, 24.444913
厦门大学(思明校区)-卢嘉锡楼, 118.100297, 24.444496
厦门大学(思明校区)-南光楼, 118.105191, 24.440312
厦门第一中学-日新楼, 118.104134, 24.465149
厦门大学(思明校区)-曾呈奎楼, 118.10185, 24.439317
厦门大学海洋与环境学院, 118.101869, 24.439332
厦门大学(思明校区)-管理学院, 118.10414, 24.444277
厦门大学(思明校区)-集美二号楼, 118.102748, 24.442978
厦门大学-马克思主义学院, 118.100431, 24.443556
厦门康桥中学-正门, 118.105503, 24.492667
厦门市湖里中学(南山路)-北门, 118.105174, 24.509794
厦门大学建筑与土木工程学院, 118.101957, 24.439481
厦门大学(思明校区)-科学楼, 118.104758, 24.447369
厦门市华侨中学-南1门, 118.097931, 24.450838
厦门外国语学校-西门, 118.098388, 24.483947
亿丰电商学院, 118.106819, 24.525946
厦门大学(思明校区)-祖营楼, 118.103363, 24.443082
厦门外国语学校附属小学-西门, 118.107081, 24.479786
厦门大学(思明校区)-蔡清洁楼, 118.106326, 24.440507
厦门大学(思明校区)-成智楼, 118.105973, 24.439973
厦门大学(思明校区)-化学化工学院, 118.10025, 24.444271
厦门大学(思明校区)-建文楼, 118.104759, 24.445194
厦门大学人文学院, 118.105226, 24.440292
厦门大学-研究生院, 118.10351, 24.443507
厦门大学(思明校区)-材料学院, 118.10462, 24.446819
厦门大学(思明校区)-化学楼, 118.101028, 24.444722
厦门市滨北小学-东门, 118.099618, 24.49468
厦门市寨上小学-明扬楼, 118.104985, 24.52948
厦门西点培训学校, 118.105411, 24.520657
厦门外国语学校(初中部)-宿舍楼, 118.098446, 24.48474
厦门城市党建学院-东北门, 118.100208, 24.464681
厦门市仙岳小学-北门, 118.102413, 24.497105
厦门市演武小学-北门, 118.098583, 24.445376
厦门市华侨中学-南2门, 118.0975, 24.450752
厦门第一中学-南门, 118.103746, 24.462974
厦门大学集美楼(凌峰路店), 118.102532, 24.442574
厦门大学(思明校区)-同安二号楼, 118.101332, 24.443619
厦门大学(思明校区)-公共事务学院, 118.106085, 24.439729
厦门市湖里中学(南山路)-东门, 118.105363, 24.509664
福建省厦门第一中学-厚德楼, 118.10583, 24.466044
厦门大学(思明校区)-凌峰电镜楼, 118.104696, 24.446872
厦门市寨上小学-南门, 118.10599, 24.528781
幸福路口咖啡学院, 118.09911, 24.468071
厦门第一中学-东门, 118.105956, 24.46636
厦门大学-海外教育学院, 118.106702, 24.440025
厦门市华昌小学-东门, 118.103871, 24.513764
厦门大学建筑与土木工程学院土木工程系-教师工作室, 118.106109, 24.440479
厦门市东渡第二小学-南门, 118.098443, 24.499339
